seed,task,context,model,sampler,kl,tv,invalid_rate,sampled_invalid_rate,edge_precision,edge_recall,edge_f1,predicted_edges,true_edges
3,context_switching_matching,0,parameter_matched_independent,independent_marginals,4.160669649916754,0.9843473039956185,0.9843473039956184,0.9837,0.0,0.0,0.0,[],"[[0, 1], [2, 3], [4, 5]]"
3,context_switching_matching,0,natural_chain,ancestral_joint,1.3901545386767102,0.7502656605088837,0.7502656605088835,0.7448,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[0, 1], [1, 2], [2, 3]]","[[0, 1], [2, 3], [4, 5]]"
3,context_switching_matching,0,static_forest,ancestral_joint,3.7233085701071515,0.9683987175642552,0.9683987175642552,0.96775,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[[0, 1], [0, 3], [1, 5]]","[[0, 1], [2, 3], [4, 5]]"
3,context_switching_matching,0,fixed_topology_dynamic_factors,ancestral_joint,4.1653570374020354,0.9843484101101707,0.9843484101101706,0.9835,0.0,0.0,0.0,"[[0, 2], [1, 4], [2, 4]]","[[0, 1], [2, 3], [4, 5]]"
3,context_switching_matching,0,dynamic_topology_fixed_factors,ancestral_joint,0.0035327842933894626,0.03269736704818675,0.00024391657087969185,0.00024999999999997247,1.0,1.0,1.0,"[[0, 1], [2, 3], [4, 5]]","[[0, 1], [2, 3], [4, 5]]"
3,context_switching_matching,0,contextual_forest,ancestral_joint,0.0030892087151253023,0.018091080553278585,0.0021935161561788138,0.0022999999999999687,1.0,1.0,1.0,"[[0, 1], [2, 3], [4, 5]]","[[0, 1], [2, 3], [4, 5]]"
3,context_switching_matching,1,factorized,independent_marginals,4.160933157322627,0.9843426295674603,0.9843426295674603,0.9851,0.0,0.0,0.0,[],"[[0, 2], [1, 4], [3, 5]]"
3,context_switching_matching,1,parameter_matched_independent,independent_marginals,4.160933157322627,0.9843426295674603,0.9843426295674603,0.98565,0.0,0.0,0.0,[],"[[0, 2], [1, 4], [3, 5]]"
3,context_switching_matching,1,natural_chain,ancestral_joint,4.1649526075516,0.9842930762682611,0.9842930762682611,0.984,0.0,0.0,0.0,"[[0, 1], [1, 2], [2, 3]]","[[0, 2], [1, 4], [3, 5]]"
3,context_switching_matching,1,static_forest,ancestral_joint,4.565152343506167,0.9825595572672932,0.9825595572672932,0.98135,0.0,0.0,0.0,"[[0, 1], [0, 3], [1, 5]]","[[0, 2], [1, 4], [3, 5]]"
3,context_switching_matching,1,fixed_topology_dynamic_factors,ancestral_joint,1.3907218417451062,0.7501961780521116,0.7501961780521116,0.7456,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[0, 2], [1, 4], [2, 4]]","[[0, 2], [1, 4], [3, 5]]"
3,context_switching_matching,1,dynamic_topology_fixed_factors,ancestral_joint,0.0040808934129947655,0.03622418881508199,0.0002438855357821683,0.00034999999999996145,1.0,1.0,1.0,"[[0, 2], [1, 4], [3, 5]]","[[0, 2], [1, 4], [3, 5]]"
3,context_switching_matching,1,contextual_forest,ancestral_joint,0.0032209624180620927,0.01971639049962997,0.0021935161561788116,0.0020499999999999963,1.0,1.0,1.0,"[[0, 2], [1, 4], [3, 5]]","[[0, 2], [1, 4], [3, 5]]"
3,context_switching_matching,2,factorized,independent_marginals,4.162399516577288,0.984321639947245,0.9843216399472449,0.9835,0.0,0.0,0.0,[],"[[0, 3], [1, 5], [2, 4]]"
3,context_switching_matching,2,parameter_matched_independent,independent_marginals,4.162399516577288,0.984321639947245,0.9843216399472449,0.9857,0.0,0.0,0.0,[],"[[0, 3], [1, 5], [2, 4]]"
3,context_switching_matching,2,natural_chain,ancestral_joint,4.166920531475068,0.9843228031565164,0.9843228031565164,0.9838,0.0,0.0,0.0,"[[0, 1], [1, 2], [2, 3]]","[[0, 3], [1, 5], [2, 4]]"
3,context_switching_matching,2,static_forest,ancestral_joint,2.899932899411739,0.9367757997819829,0.9367757997819828,0.93715,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[0, 1], [0, 3], [1, 5]]","[[0, 3], [1, 5], [2, 4]]"
3,context_switching_matching,2,fixed_topology_dynamic_factors,ancestral_joint,2.7799958525990762,0.9373548092983593,0.9373548092983593,0.93665,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[[0, 2], [1, 4], [2, 4]]","[[0, 3], [1, 5], [2, 4]]"
3,context_switching_matching,2,dynamic_topology_fixed_factors,ancestral_joint,0.007230789966718595,0.0471861951143882,0.00024373097466435088,0.00019999999999997797,1.0,1.0,1.0,"[[0, 3], [1, 5], [2, 4]]","[[0, 3], [1, 5], [2, 4]]"
3,context_switching_matching,2,contextual_forest,ancestral_joint,0.003954142045392545,0.02478966007163086,0.0021935161561788125,0.0012999999999999678,1.0,1.0,1.0,"[[0, 3], [1, 5], [2, 4]]","[[0, 3], [1, 5], [2, 4]]"
3,cyclic_xor,0,factorized,independent_marginals,0.6934315852054838,0.5000000691253836,0.5000000691253836,0.49824999999999997,1.0,1.0,1.0,[],[]
3,cyclic_xor,0,parameter_matched_independent,independent_marginals,0.6934315852054838,0.5000000691253836,0.5000000691253836,0.49575,1.0,1.0,1.0,[],[]
3,cyclic_xor,0,natural_chain,ancestral_joint,0.6935617171111883,0.4998702286112485,0.4998702286112486,0.5041,0.0,0.0,0.0,"[[0, 1]]",[]
3,cyclic_xor,0,static_forest,ancestral_joint,0.6935863944251377,0.4998455613224777,0.4998455613224777,0.4991,0.0,0.0,0.0,"[[0, 2]]",[]
3,cyclic_xor,0,fixed_topology_dynamic_factors,ancestral_joint,0.6935863944251377,0.4998455613224777,0.4998455613224777,0.49565000000000003,0.0,0.0,0.0,"[[0, 2]]",[]
3,cyclic_xor,0,dynamic_topology_fixed_factors,ancestral_joint,0.6935864261391149,0.4998455613442486,0.4998455613442486,0.50385,0.0,0.0,0.0,"[[0, 2]]",[]
3,cyclic_xor,0,contextual_forest,ancestral_joint,0.6935863944251377,0.4998455613224777,0.4998455613224777,0.5004500000000001,0.0,0.0,0.0,"[[0, 2]]",[]
